country_code,country,region,year,cost_healthy_diet_ppp_usd,annual_cost_healthy_diet_usd,cost_vegetables_ppp_usd,cost_fruits_ppp_usd,total_food_components_cost,cost_category,data_quality
68,Bolivia (Plurinational State of),Africa,2017,3.62,1321.3,,,,High Cost,Estimated value
68,Bolivia (Plurinational State of),Africa,2018,3.61,1317.6499999999999,,,,High Cost,Estimated value
68,Bolivia (Plurinational State of),Africa,2019,3.75,1368.75,,,,High Cost,Estimated value
68,Bolivia (Plurinational State of),Africa,2020,3.78,1379.6999999999998,,,,High Cost,Estimated value
68,Bolivia (Plurinational State of),Africa,2021,3.96,1445.4,0.71,0.67,1.38,High Cost,Estimated value
68,Bolivia (Plurinational State of),Africa,2022,4.3,1569.5,,,,High Cost,Estimated value
68,Bolivia (Plurinational State of),Africa,2023,4.57,1668.0500000000002,,,,High Cost,Estimated value
68,Bolivia (Plurinational State of),Africa,2024,4.82,1759.3000000000002,,,,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2017,4.07,1485.5500000000002,,,,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2018,4.13,1507.45,,,,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2019,4.34,1584.1,,,,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2020,4.34,1584.1,,,,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2021,4.54,1657.1,1.17,0.73,1.9,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2022,5.48,2000.2,,,,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2023,5.95,2171.75,,,,High Cost,Estimated value
70,Bosnia and Herzegovina,Africa,2024,6.15,2244.75,,,,High Cost,Estimated value
72,Botswana,Africa,2017,3.01,1098.6499999999999,,,,High Cost,Estimated value
72,Botswana,Africa,2018,3.0,1095.0,,,,High Cost,Estimated value
72,Botswana,Africa,2019,3.04,1109.6,,,,High Cost,Estimated value
72,Botswana,Africa,2020,3.21,1171.65,,,,High Cost,Estimated value
72,Botswana,Africa,2021,3.41,1244.65,0.58,0.43,1.01,High Cost,Estimated value
72,Botswana,Africa,2022,3.62,1321.3,,,,High Cost,Estimated value
72,Botswana,Africa,2023,4.01,1463.6499999999999,,,,High Cost,Estimated value
72,Botswana,Africa,2024,4.21,1536.65,,,,High Cost,Estimated value
76,Brazil,Africa,2017,3.15,1149.75,,,,High Cost,Estimated value
76,Brazil,Africa,2018,3.23,1178.95,,,,High Cost,Estimated value
76,Brazil,Africa,2019,3.39,1237.3500000000001,,,,High Cost,Estimated value
76,Brazil,Africa,2020,3.69,1346.85,,,,High Cost,Estimated value
76,Brazil,Africa,2021,3.97,1449.0500000000002,0.69,0.67,1.3599999999999999,High Cost,Estimated value
76,Brazil,Africa,2022,4.39,1602.35,,,,High Cost,Estimated value
76,Brazil,Africa,2023,4.55,1660.75,,,,High Cost,Estimated value
76,Brazil,Africa,2024,4.69,1711.8500000000001,,,,High Cost,Estimated value
92,British Virgin Islands,Africa,2017,3.5,1277.5,,,,High Cost,Estimated value
92,British Virgin Islands,Africa,2018,3.53,1288.4499999999998,,,,High Cost,Estimated value
92,British Virgin Islands,Africa,2019,3.64,1328.6000000000001,,,,High Cost,Estimated value
92,British Virgin Islands,Africa,2020,3.78,1379.6999999999998,,,,High Cost,Estimated value
92,British Virgin Islands,Africa,2021,3.94,1438.1,0.97,0.92,1.8900000000000001,High Cost,Estimated value
92,British Virgin Islands,Africa,2022,4.78,1744.7,,,,High Cost,Estimated value
92,British Virgin Islands,Africa,2023,5.05,1843.25,,,,High Cost,Estimated value
92,British Virgin Islands,Africa,2024,5.23,1908.95,,,,High Cost,Estimated value
96,Brunei Darussalam,Africa,2017,4.11,1500.15,,,,High Cost,Estimated value
96,Brunei Darussalam,Africa,2018,4.26,1554.8999999999999,,,,High Cost,Estimated value
96,Brunei Darussalam,Africa,2019,4.36,1591.4,,,,High Cost,Estimated value
96,Brunei Darussalam,Africa,2020,4.55,1660.75,,,,High Cost,Estimated value
96,Brunei Darussalam,Africa,2021,4.85,1770.2499999999998,1.3,0.93,2.23,High Cost,Estimated value
96,Brunei Darussalam,Africa,2022,5.32,1941.8000000000002,,,,High Cost,Estimated value
96,Brunei Darussalam,Africa,2023,5.67,2069.55,,,,High Cost,Estimated value
96,Brunei Darussalam,Africa,2024,5.89,2149.85,,,,High Cost,Estimated value
100,Bulgaria,Africa,2017,3.39,1237.3500000000001,,,,High Cost,Estimated value
100,Bulgaria,Africa,2018,3.47,1266.5500000000002,,,,High Cost,Estimated value
100,Bulgaria,Africa,2019,3.67,1339.55,,,,High Cost,Estimated value
100,Bulgaria,Africa,2020,3.8,1387.0,,,,High Cost,Estimated value
100,Bulgaria,Africa,2021,3.93,1434.45,0.85,0.87,1.72,High Cost,Estimated value
100,Bulgaria,Africa,2022,4.72,1722.8,,,,High Cost,Estimated value
100,Bulgaria,Africa,2023,5.16,1883.4,,,,High Cost,Estimated value
100,Bulgaria,Africa,2024,5.32,1941.8000000000002,,,,High Cost,Estimated value
854,Burkina Faso,Europe,2017,2.77,1011.05,,,,High Cost,Estimated value
854,Burkina Faso,Europe,2018,2.82,1029.3,,,,High Cost,Estimated value
854,Burkina Faso,Europe,2019,2.72,992.8000000000001,,,,High Cost,Estimated value
854,Burkina Faso,Europe,2020,2.8,1021.9999999999999,,,,High Cost,Estimated value
854,Burkina Faso,Europe,2021,2.97,1084.0500000000002,0.57,0.39,0.96,High Cost,Estimated value
854,Burkina Faso,Europe,2022,3.48,1270.2,,,,High Cost,Estimated value
854,Burkina Faso,Europe,2023,3.55,1295.75,,,,High Cost,Estimated value
854,Burkina Faso,Europe,2024,3.73,1361.45,,,,High Cost,Estimated value
108,Burundi,Africa,2017,3.4,1241.0,,,,High Cost,Estimated value
108,Burundi,Africa,2018,3.12,1138.8,,,,High Cost,Estimated value
108,Burundi,Africa,2019,3.1,1131.5,,,,High Cost,Estimated value
108,Burundi,Africa,2020,3.33,1215.45,,,,High Cost,Estimated value
108,Burundi,Africa,2021,3.54,1292.1,0.42,0.45,0.87,High Cost,Estimated value
108,Burundi,Africa,2022,4.0,1460.0,,,,High Cost,Estimated value
108,Burundi,Africa,2023,4.5,1642.5,,,,High Cost,Estimated value
108,Burundi,Africa,2024,4.55,1660.75,,,,High Cost,Estimated value
132,Cabo Verde,Africa,2017,3.16,1153.4,,,,High Cost,Estimated value
132,Cabo Verde,Africa,2018,2.92,1065.8,,,,High Cost,Estimated value
132,Cabo Verde,Africa,2019,2.86,1043.8999999999999,,,,High Cost,Estimated value
132,Cabo Verde,Africa,2020,2.83,1032.95,,,,High Cost,Estimated value
132,Cabo Verde,Africa,2021,2.92,1065.8,0.96,0.51,1.47,High Cost,Estimated value
132,Cabo Verde,Africa,2022,3.38,1233.7,,,,High Cost,Estimated value
132,Cabo Verde,Africa,2023,3.69,1346.85,,,,High Cost,Estimated value
132,Cabo Verde,Africa,2024,3.81,1390.65,,,,High Cost,Estimated value
116,Cambodia,Africa,2017,3.55,1295.75,,,,High Cost,Estimated value
116,Cambodia,Africa,2018,3.62,1321.3,,,,High Cost,Estimated value
116,Cambodia,Africa,2019,3.68,1343.2,,,,High Cost,Estimated value
116,Cambodia,Africa,2020,3.84,1401.6,,,,High Cost,Estimated value
116,Cambodia,Africa,2021,3.95,1441.75,1.03,0.56,1.59,High Cost,Estimated value
116,Cambodia,Africa,2022,4.25,1551.25,,,,High Cost,Estimated value
116,Cambodia,Africa,2023,4.47,1631.55,,,,High Cost,Estimated value
116,Cambodia,Africa,2024,4.6,1678.9999999999998,,,,High Cost,Estimated value
120,Cameroon,Africa,2017,2.6,949.0,,,,High Cost,Estimated value
120,Cameroon,Africa,2018,2.74,1000.1,,,,High Cost,Estimated value
120,Cameroon,Africa,2019,2.9,1058.5,,,,High Cost,Estimated value
120,Cameroon,Africa,2020,3.1,1131.5,,,,High Cost,Estimated value
120,Cameroon,Africa,2021,3.41,1244.65,0.39,0.27,0.66,High Cost,Estimated value
120,Cameroon,Africa,2022,3.9,1423.5,,,,High Cost,Estimated value
120,Cameroon,Africa,2023,4.2,1533.0,,,,High Cost,Estimated value
120,Cameroon,Africa,2024,4.38,1598.7,,,,High Cost,Estimated value
124,Canada,Africa,2017,3.08,1124.2,,,,High Cost,Estimated value
124,Canada,Africa,2018,3.13,1142.45,,,,High Cost,Estimated value
124,Canada,Africa,2019,3.19,1164.35,,,,High Cost,Estimated value
124,Canada,Africa,2020,3.33,1215.45,,,,High Cost,Estimated value
124,Canada,Africa,2021,3.52,1284.8,0.88,0.91,1.79,High Cost,Estimated value
124,Canada,Africa,2022,3.92,1430.8,,,,High Cost,Estimated value
124,Canada,Africa,2023,4.27,1558.55,,,,High Cost,Estimated value
124,Canada,Africa,2024,4.39,1602.35,,,,High Cost,Estimated value
136,Cayman Islands,Africa,2017,3.5,1277.5,,,,High Cost,Estimated value
136,Cayman Islands,Africa,2018,3.64,1328.6000000000001,,,,High Cost,Estimated value
136,Cayman Islands,Africa,2019,3.61,1317.6499999999999,,,,High Cost,Estimated value
136,Cayman Islands,Africa,2020,3.81,1390.65,,,,High Cost,Estimated value
136,Cayman Islands,Africa,2021,4.09,1492.85,0.89,1.19,2.08,High Cost,Estimated value
136,Cayman Islands,Africa,2022,4.33,1580.45,,,,High Cost,Estimated value
136,Cayman Islands,Africa,2023,4.61,1682.65,,,,High Cost,Estimated value
136,Cayman Islands,Africa,2024,4.7,1715.5,,,,High Cost,Estimated value
140,Central African Republic,Africa,2017,2.95,1076.75,,,,High Cost,Estimated value
140,Central African Republic,Africa,2018,3.08,1124.2,,,,High Cost,Estimated value
140,Central African Republic,Africa,2019,3.22,1175.3000000000002,,,,High Cost,Estimated value
140,Central African Republic,Africa,2020,3.38,1233.7,,,,High Cost,Estimated value
140,Central African Republic,Africa,2021,3.63,1324.95,0.94,0.23,1.17,High Cost,Estimated value
140,Central African Republic,Africa,2022,3.92,1430.8,,,,High Cost,Estimated value
140,Central African Republic,Africa,2023,4.08,1489.2,,,,High Cost,Estimated value
140,Central African Republic,Africa,2024,4.21,1536.65,,,,High Cost,Estimated value
148,Chad,Africa,2017,2.82,1029.3,,,,High Cost,Estimated value
148,Chad,Africa,2018,2.8,1021.9999999999999,,,,High Cost,Estimated value
148,Chad,Africa,2019,2.8,1021.9999999999999,,,,High Cost,Estimated value
148,Chad,Africa,2020,2.95,1076.75,,,,High Cost,Estimated value
148,Chad,Africa,2021,3.04,1109.6,0.43,0.27,0.7,High Cost,Estimated value
148,Chad,Africa,2022,3.49,1273.8500000000001,,,,High Cost,Estimated value
148,Chad,Africa,2023,3.77,1376.05,,,,High Cost,Estimated value
148,Chad,Africa,2024,3.94,1438.1,,,,High Cost,Estimated value
152,Chile,Africa,2017,3.38,1233.7,,,,High Cost,Estimated value
152,Chile,Africa,2018,3.52,1284.8,,,,High Cost,Estimated value
152,Chile,Africa,2019,3.66,1335.9,,,,High Cost,Estimated value
152,Chile,Africa,2020,3.79,1383.35,,,,High Cost,Estimated value
152,Chile,Africa,2021,3.87,1412.55,1.05,0.75,1.8,High Cost,Estimated value
152,Chile,Africa,2022,4.42,1613.3,,,,High Cost,Estimated value
152,Chile,Africa,2023,5.04,1839.6,,,,High Cost,Estimated value
152,Chile,Africa,2024,5.22,1905.3,,,,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2017,3.33,1215.45,,,,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2018,3.44,1255.6,,,,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2019,3.78,1379.6999999999998,,,,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2020,4.04,1474.6,,,,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2021,4.2,1533.0,0.92,0.81,1.73,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2022,4.65,1697.2500000000002,,,,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2023,4.77,1741.05,,,,High Cost,Estimated value
344,"China, Hong Kong SAR",Americas,2024,4.81,1755.6499999999999,,,,High Cost,Estimated value
158,"China, Taiwan Province of",Africa,2017,4.0,1460.0,,,,,Estimated value
158,"China, Taiwan Province of",Africa,2021,4.95,1806.75,1.15,0.75,1.9,,Estimated value
156,"China, mainland",Africa,2017,2.8,1021.9999999999999,,,,High Cost,Estimated value
156,"China, mainland",Africa,2018,2.82,1029.3,,,,High Cost,Estimated value
156,"China, mainland",Africa,2019,3.0,1095.0,,,,High Cost,Estimated value
156,"China, mainland",Africa,2020,3.25,1186.25,,,,High Cost,Estimated value
156,"China, mainland",Africa,2021,3.13,1142.45,0.6,0.74,1.3399999999999999,High Cost,Estimated value
156,"China, mainland",Africa,2022,3.41,1244.65,,,,High Cost,Estimated value
156,"China, mainland",Africa,2023,3.53,1288.4499999999998,,,,High Cost,Estimated value
156,"China, mainland",Africa,2024,3.6,1314.0,,,,High Cost,Estimated value
170,Colombia,Africa,2017,2.84,1036.6,,,,High Cost,Estimated value
170,Colombia,Africa,2018,2.87,1047.55,,,,High Cost,Estimated value
170,Colombia,Africa,2019,2.95,1076.75,,,,High Cost,Estimated value
170,Colombia,Africa,2020,3.15,1149.75,,,,High Cost,Estimated value
170,Colombia,Africa,2021,3.3,1204.5,0.8,0.53,1.33,High Cost,Estimated value
170,Colombia,Africa,2022,4.06,1481.8999999999999,,,,High Cost,Estimated value
170,Colombia,Africa,2023,4.69,1711.8500000000001,,,,High Cost,Estimated value
170,Colombia,Africa,2024,4.67,1704.55,,,,High Cost,Estimated value
174,Comoros,Africa,2017,4.61,1682.65,,,,High Cost,Estimated value
174,Comoros,Africa,2018,4.55,1660.75,,,,High Cost,Estimated value
174,Comoros,Africa,2019,4.54,1657.1,,,,High Cost,Estimated value
174,Comoros,Africa,2020,4.49,1638.8500000000001,,,,High Cost,Estimated value
174,Comoros,Africa,2021,4.48,1635.2,1.14,0.47,1.6099999999999999,High Cost,Estimated value
174,Comoros,Africa,2022,4.75,1733.75,,,,High Cost,Estimated value
174,Comoros,Africa,2023,4.93,1799.4499999999998,,,,High Cost,Estimated value
174,Comoros,Africa,2024,5.14,1876.1,,,,High Cost,Estimated value
178,Congo,Africa,2017,3.04,1109.6,,,,High Cost,Estimated value
178,Congo,Africa,2018,3.16,1153.4,,,,High Cost,Estimated value
178,Congo,Africa,2019,3.24,1182.6000000000001,,,,High Cost,Estimated value
178,Congo,Africa,2020,3.43,1251.95,,,,High Cost,Estimated value
178,Congo,Africa,2021,3.74,1365.1000000000001,0.77,0.41,1.18,High Cost,Estimated value
178,Congo,Africa,2022,4.16,1518.4,,,,High Cost,Estimated value
178,Congo,Africa,2023,4.33,1580.45,,,,High Cost,Estimated value
178,Congo,Africa,2024,4.43,1616.9499999999998,,,,High Cost,Estimated value
188,Costa Rica,Africa,2017,3.54,1292.1,,,,High Cost,Estimated value
188,Costa Rica,Africa,2018,3.58,1306.7,,,,High Cost,Estimated value
188,Costa Rica,Africa,2019,3.67,1339.55,,,,High Cost,Estimated value
188,Costa Rica,Africa,2020,3.56,1299.4,,,,High Cost,Estimated value
188,Costa Rica,Africa,2021,3.7,1350.5,0.86,0.58,1.44,High Cost,Estimated value
188,Costa Rica,Africa,2022,4.13,1507.45,,,,High Cost,Estimated value
188,Costa Rica,Africa,2023,4.52,1649.8,,,,High Cost,Estimated value
188,Costa Rica,Africa,2024,4.62,1686.3,,,,High Cost,Estimated value
191,Croatia,Africa,2017,3.31,1208.15,,,,High Cost,Estimated value
191,Croatia,Africa,2018,3.35,1222.75,,,,High Cost,Estimated value
191,Croatia,Africa,2019,3.44,1255.6,,,,High Cost,Estimated value
191,Croatia,Africa,2020,3.53,1288.4499999999998,,,,High Cost,Estimated value
191,Croatia,Africa,2021,3.71,1354.15,0.88,0.76,1.6400000000000001,High Cost,Estimated value
191,Croatia,Africa,2022,4.21,1536.65,,,,High Cost,Estimated value
191,Croatia,Africa,2023,4.52,1649.8,,,,High Cost,Estimated value
191,Croatia,Africa,2024,4.7,1715.5,,,,High Cost,Estimated value
531,Curaçao,Asia,2017,2.95,1076.75,,,,High Cost,Estimated value
